Sample,TE,All_reads,HQ_reads
SRR11846559,MD106_gypsy6_Dse,19.05,16.00
SRR11846559,MERCR1A3,0.00,0.00
SRR11846559,NEOR1A,0.02,0.00
SRR11846559,NETR1B,0.00,0.00
SRR11846559,NEWTON,0.00,0.00
SRR11846559,OPUS,33.14,28.29
SRR11846559,OSV,3.10,1.84
SRR11846559,P_M,0.00,0.00
SRR11846559,P_O,0.00,0.00
SRR11846559,P_T,0.06,0.00
SRR11846559,PPI251,0.00,0.00
SRR11846559,Q,12.22,1.73
SRR11846559,QBERT,7.17,5.24
SRR11846559,QUASIMODO,46.02,36.11
SRR11846559,R1-2,2.11,1.42
SRR11846559,ROOA_LTR,12.48,9.38
SRR11846559,ROVER,14.46,11.59
SRR11846559,ROXELEMENT,23.25,20.53
SRR11846559,RT1B,55.20,49.83
SRR11846559,RT1C,5.94,3.74
SRR11846559,S2,8.78,5.63
SRR11846559,SGM,0.08,0.00
SRR11846559,SPOCK,0.00,0.00
SRR11846559,SPRINGER,10.95,8.65
SRR11846559,STALKER,27.64,2.39
SRR11846559,STALKER2,19.01,14.59
SRR11846559,STALKER3,21.35,18.41
SRR11846559,STALKER4,34.48,1.37
SRR11846559,TABOR,8.68,7.17
SRR11846559,TAHRE,2.08,1.28
SRR11846559,TAKR1A2,0.00,0.00
SRR11846559,TARTC,0.01,0.00
SRR11846559,TARTVIR,0.48,0.00
SRR11846559,TARTYAK,0.00,0.00
SRR11846559,TC1,22.93,19.73
SRR11846559,TC1-2,16.20,13.42
SRR11846559,TC3,4.36,3.60
SRR11846559,Tinker,18.07,16.88
SRR11846559,TIRANT,3.73,2.71
SRR11846559,TRANSIB1,4.78,4.20
SRR11846559,TRANSIB2,16.17,13.39
SRR11846559,TRANSIB3,7.02,5.72
SRR11846559,TRANSIB4,3.45,2.61
SRR11846559,TV1,0.00,0.00
SRR11846559,U73803,0.00,0.00
SRR11846559,VEGE,0.00,0.00
SRR11846559,VIRUVIR,0.00,0.00
SRR11846559,WORF,0.00,0.00
SRR11846559,YAKHETA,0.00,0.00
Sample,TE,All_reads,HQ_reads
SRR11846565,1360,93.48,73.48
SRR11846565,412,42.82,36.83
SRR11846565,ACCORD,10.97,8.89
SRR11846565,AF009439,0.00,0.00
SRR11846565,AF056940,0.01,0.00
SRR11846565,AF222049,16.21,14.24
SRR11846565,AF418572,0.00,0.00
SRR11846565,AF541951,1.92,1.14
SRR11846565,AY561850,4.73,2.93
SRR11846565,BAGGINS,43.77,36.71
SRR11846565,Beagle,18.82,15.14
SRR11846565,Beagle2,19.45,15.45
SRR11846565,BLOOD,12.95,11.72
SRR11846565,BS,15.03,14.02
SRR11846565,BS3,14.98,11.06
SRR11846565,BS4,1.70,1.52
SRR11846565,BUT1,0.00,0.00
SRR11846565,BUT2,0.00,0.00
SRR11846565,BUT3,0.01,0.00
SRR11846565,BUT4,0.00,0.00
SRR11846565,BUT5,0.00,0.00
SRR11846565,BUT6,0.21,0.01
SRR11846565,CIRC,22.36,19.56
SRR11846565,DBU133521,0.00,0.00
SRR11846565,DDBARI1,1.59,0.74
SRR11846565,DFU309320,0.14,0.00
SRR11846565,DH14600,0.00,0.00
SRR11846565,DHMINOS,0.15,0.01
SRR11846565,DHUHUH3,0.00,0.00
SRR11846565,DIVER2,18.96,13.81
SRR11846565,DK29466,0.00,0.00
SRR11846565,DM06920,11.46,6.82
SRR11846565,DM14101,0.41,0.06
SRR11846565,DM23420,22.71,20.19
SRR11846565,DM33463,43.72,21.55
SRR11846565,DM88,15.45,13.16
SRR11846565,DM_ROO,133.78,119.64
SRR11846565,DMAURA,8.43,3.84
SRR11846565,DMBARI1,44.28,43.46
SRR11846565,DMBLPP,26.25,24.80
SRR11846565,DMCOPIA,38.74,34.44
SRR11846565,DMCR1A,93.55,70.72
SRR11846565,DMDM11,14.83,11.99
SRR11846565,DME010298,26.14,22.20
SRR11846565,DME278684,20.22,17.61
SRR11846565,DME487856,27.38,24.43
SRR11846565,DME9736,34.41,25.71
SRR11846565,dmel_Antennapedia,0.97,0.95
SRR11846565,dmel_Osi6,0.96,0.96
SRR11846565,dmel_wingless,1.03,1.02
SRR11846565,DMGYPF1A,10.75,7.86
SRR11846565,DMHFL1,4.33,2.57
SRR11846565,DMIFACA,14.78,9.03
SRR11846565,DMIS176,28.37,24.22
SRR11846565,DMIS297,43.49,35.35
SRR11846565,DMLINEJA,31.06,30.46
SRR11846565,DMMAR,0.00,0.00
SRR11846565,DMMDG3,34.28,30.74
SRR11846565,DMPOGOR11,23.17,21.58
SRR11846565,DMREPG,12.15,11.08
SRR11846565,DMRER1DM,179.04,169.37
SRR11846565,DMRER2DM,30.98,30.42
SRR11846565,DMRTMGD1,29.51,24.95
SRR11846565,DMTHB1,15.70,9.56
SRR11846565,DMTN1731,15.51,14.13
SRR11846565,DMTNFB,59.62,34.48
SRR11846565,DMTOM1_LTR,9.54,7.14
SRR11846565,DMTRAM,0.00,0.00
SRR11846565,DMTRDNA,19.09,15.65
SRR11846565,DMTRIM,0.00,0.00
SRR11846565,DMU89994,18.49,16.45
SRR11846565,DMW1DOC,101.13,99.11
SRR11846565,DMZAM,5.29,4.18
SRR11846565,DNTOMRETA,0.27,0.00
SRR11846565,DOC2,21.61,20.63
SRR11846565,DOC3,30.05,26.13
SRR11846565,DOC4,6.89,5.09
SRR11846565,DOC5,12.53,10.02
SRR11846565,DPSEMINIME,0.05,0.00
SRR11846565,DSRN,6.35,3.70
SRR11846565,DSV28T24,0.00,0.00
SRR11846565,DTEII,1.08,0.22
SRR11846565,DV26847,1.43,0.00
SRR11846565,DV49102,0.00,0.00
SRR11846565,DVRPPDV,0.00,0.00
SRR11846565,DVULYSS,0.00,0.00
SRR11846565,F,118.75,114.60
