Sample,TE,All_reads,HQ_reads
SRR11846565,Circe,22.37,19.57
SRR11846565,copia,38.73,34.44
SRR11846565,copia2,6.43,0.08
SRR11846565,diver,25.15,21.17
SRR11846565,diver2,17.16,12.88
SRR11846565,Dm88,7.10,0.04
SRR11846565,dmel_Antennapedia,0.97,0.95
SRR11846565,dmel_Osi6,0.96,0.96
SRR11846565,dmel_wingless,1.03,1.02
SRR11846565,DMRT1A,96.40,79.83
SRR11846565,DMRT1C,6.90,4.96
SRR11846565,DNAREP1,188.94,44.94
SRR11846565,DNAREP1-like,7.33,0.83
SRR11846565,Doc,101.08,99.05
SRR11846565,Doc2,21.59,20.62
SRR11846565,Doc3,29.96,25.93
SRR11846565,Doc4,6.87,5.08
SRR11846565,Doc5,13.12,10.82
SRR11846565,F-element,81.79,34.82
SRR11846565,family-0_Copia-like,5.54,1.72
SRR11846565,family-0_MULE-NOF,1641.73,1007.23
SRR11846565,family-100_HMS-beagle,3.26,2.85
SRR11846565,family-105_gypsy,1.55,1.38
SRR11846565,family-110_gypsy_SAP,27.85,25.86
SRR11846565,family-1124_gypsy-frag,3.40,2.85
SRR11846565,family-113_micropia-like,1.60,1.37
SRR11846565,family-117_gypsy,16.45,7.58
SRR11846565,family-1205_Tc3,2.51,0.43
SRR11846565,family-134_gypsy,11.31,6.17
SRR11846565,family-139_FW2-like,28.53,4.38
SRR11846565,family-1439_Tc3,2.73,1.10
SRR11846565,family-149_HMS-beagle,4.48,3.81
SRR11846565,family-15_G-like,9.60,0.81
SRR11846565,family-2202_Pao,6.46,3.71
SRR11846565,family-2226_Tc1-like,4.16,1.50
SRR11846565,family-2266_Blastopia-like,1.20,0.86
SRR11846565,family-252_hAT_BEDzf,25.75,21.26
SRR11846565,family-325_gypsy,4.58,4.10
SRR11846565,family-358_hAT,2.22,1.80
SRR11846565,family-3655_gypsy,4.13,3.91
SRR11846565,family-3830_accord-like,1.84,1.47
SRR11846565,family-4408_gypsy,4.61,1.36
SRR11846565,family-447_HETA-like,5.59,1.56
SRR11846565,family-4955_hAT,8.60,6.07
SRR11846565,family-49_Tc3,3.01,2.89
SRR11846565,family-5171_Pao,4.66,3.96
SRR11846565,family-53_gypsy_truncated,18.11,6.23
SRR11846565,family-58_micropia-like,2.37,2.20
SRR11846565,family-6086_diver,7.77,3.98
SRR11846565,family-63_micropia-like,8.24,7.35
SRR11846565,family-70_diver-like,14.05,1.96
SRR11846565,family-70_Diver2-like,5.13,2.87
SRR11846565,family-7121_ninja-like,6.75,3.38
SRR11846565,family-732_gypsy,5.03,4.55
SRR11846565,family-92_copia-like,1.65,1.53
SRR11846565,family-966_Pao,3.17,0.90
SRR11846565,family-999_gypsy,2.28,1.75
SRR11846565,FB,58.02,33.46
SRR11846565,flea,26.25,24.79
SRR11846565,frogger,3.51,2.84
SRR11846565,Fw2,4.21,3.61
SRR11846565,Fw3,2.97,2.33
SRR11846565,G-element,8.09,4.81
SRR11846565,G2,22.85,18.81
SRR11846565,G3,2.42,2.01
SRR11846565,G4,12.14,10.21
SRR11846565,G5,9.97,8.44
SRR11846565,G5A,10.16,7.38
SRR11846565,G6,18.22,17.73
SRR11846565,GATE,26.16,22.25
SRR11846565,Gedeo_Dmel,3.05,1.92
SRR11846565,gtwin,2.45,1.83
SRR11846565,gypsy,10.69,7.82
SRR11846565,gypsy10,2.16,1.01
SRR11846565,gypsy11,2.31,1.16
SRR11846565,gypsy12,13.10,7.73
SRR11846565,gypsy12A,5.35,2.01
SRR11846565,gypsy2,11.19,8.36
SRR11846565,gypsy2S,19.44,15.60
SRR11846565,gypsy3,5.74,4.04
SRR11846565,gypsy4,21.67,19.59
SRR11846565,gypsy5,2.31,1.25
SRR11846565,gypsy6,11.00,3.95
SRR11846565,gypsy7,8.09,6.72
SRR11846565,gypsy8,6.71,3.58
SRR11846565,gypsy9,2.30,1.44
SRR11846565,HB,15.75,9.52
SRR11846565,Helena,7.09,5.84
SRR11846565,HeT-A,7.94,2.99
SRR11846565,HMS-Beagle,18.79,15.13
SRR11846565,hobo,4.39,2.58
SRR11846565,hopper,10.01,3.30
SRR11846565,hopper2,5.87,4.28
SRR11846565,I-element,13.02,9.65
SRR11846565,Idefix,36.85,27.92
SRR11846565,invader1,24.22,15.84
SRR11846565,invader2,30.60,26.35
SRR11846565,invader3,11.38,9.57
SRR11846565,invader4,14.75,8.63
SRR11846565,invader5,2.11,1.49
SRR11846565,Ivk,22.28,20.23
SRR11846565,jockey,31.05,30.45
SRR11846565,jockey2,5.54,3.69
SRR11846565,Juan,23.56,23.28
SRR11846565,looper1,2.93,2.41
SRR11846565,M4DM,10.40,2.51
SRR11846565,mariner2,14.24,10.38
SRR11846565,Max-element,25.81,22.57
SRR11846565,McClintock,8.10,0.46
SRR11846565,mdg1,29.53,24.99
SRR11846565,mdg3,34.27,30.73
SRR11846565,micropia,14.84,12.00
SRR11846565,Minos_DM,0.82,0.78
SRR11846565,ninja-aurora,12.73,11.22
SRR11846565,NOF,0.44,0.06
SRR11846565,Nomad,30.18,24.55
SRR11846565,P-element,0.00,0.00
SRR11846565,Phanio_Dmel,8.37,4.55
SRR11846565,Phidippo_Dmel,7.02,5.41
SRR11846565,Pifo_A,2.28,1.91
SRR11846565,pogo,23.17,21.58
SRR11846565,Quasimodo,34.35,26.24
SRR11846565,Quasimodo2,6.33,0.01
SRR11846565,R1,95.28,30.35
SRR11846565,R1-2,2.56,1.78
SRR11846565,R1A1-element,88.42,30.55
SRR11846565,R2-element,30.98,30.42
