"Sample","TE","All_reads","HQ_reads"
"SRR11846560","TIRANT","5.31","4.14"
"SRR11846560","TRANSIB1_DNA_CMC_Transib","2.92","2.59"
"SRR11460801","412","40.84","31.63"
"SRR11460801","BLOOD","35.62","29.65"
"SRR11460801","99_Jockey_Harwich2SLA001","32.54","20.59"
"SRR11460801","08_BARI_Harwich2TOM008","10.23","7.63"
"SRR11460801","62_MDG3_Harwich2SLA001","2.72","1.77"
"SRR11460801","DMHFL1","72.69","68.91"
"SRR11460801","DMIFACA","35.80","30.46"
"SRR11460801","micropia","0.17","0.00"
"SRR11460801","OPUS","33.58","27.56"
"SRR11460801","PPI251","32.41","31.48"
"SRR11460801","Souslik","3.12","1.87"
"SRR11460801","spoink","1.16","0.10"
"SRR11460801","TIRANT","9.41","6.74"
"SRR11460801","TRANSIB1_DNA_CMC_Transib","2.98","2.65"
"SRR13257684","412","31.51","24.07"
"SRR13257684","BLOOD","23.17","19.49"
"SRR13257684","99_Jockey_Harwich2SLA001","7.96","4.70"
"SRR13257684","08_BARI_Harwich2TOM008","16.23","11.40"
"SRR13257684","62_MDG3_Harwich2SLA001","1.85","1.29"
"SRR13257684","DMHFL1","35.54","31.95"
"SRR13257684","DMIFACA","33.90","29.07"
"SRR13257684","micropia","0.13","0.02"
"SRR13257684","OPUS","26.15","21.52"
"SRR13257684","PPI251","14.98","14.45"
"SRR13257684","Souslik","4.78","3.09"
"SRR13257684","spoink","0.86","0.10"
"SRR13257684","TIRANT","9.61","7.32"
"SRR13257684","TRANSIB1_DNA_CMC_Transib","2.59","2.31"
"SRR14293191","412","24.43","18.41"
"SRR14293191","BLOOD","22.15","19.02"
"SRR14293191","99_Jockey_Harwich2SLA001","6.05","3.52"
"SRR14293191","08_BARI_Harwich2TOM008","7.00","5.15"
"SRR14293191","62_MDG3_Harwich2SLA001","3.26","2.20"
"SRR14293191","DMHFL1","14.93","13.31"
"SRR14293191","DMIFACA","33.24","30.39"
"SRR14293191","micropia","0.13","0.01"
"SRR14293191","OPUS","38.43","30.61"
"SRR14293191","PPI251","13.78","13.18"
"SRR14293191","Souslik","3.73","2.52"
"SRR14293191","spoink","0.77","0.09"
"SRR14293191","TIRANT","10.28","7.82"
"SRR14293191","TRANSIB1_DNA_CMC_Transib","1.58","1.42"
"SRR14293574","412","16.86","12.12"
"SRR14293574","BLOOD","14.51","12.30"
"SRR14293574","99_Jockey_Harwich2SLA001","8.69","5.23"
"SRR14293574","08_BARI_Harwich2TOM008","6.56","4.77"
"SRR14293574","62_MDG3_Harwich2SLA001","4.53","3.22"
"SRR14293574","DMHFL1","14.63","13.33"
"SRR14293574","DMIFACA","27.47","24.72"
"SRR14293574","micropia","0.14","0.00"
"SRR14293574","OPUS","44.93","35.74"
"SRR14293574","PPI251","7.92","7.69"
"SRR14293574","Souslik","3.82","2.59"
"SRR14293574","spoink","1.32","0.06"
"SRR14293574","TIRANT","10.84","7.85"
"SRR14293574","TRANSIB1_DNA_CMC_Transib","1.18","1.06"
"SRR14293140","412","14.28","10.10"
"SRR14293140","BLOOD","14.14","11.82"
"SRR14293140","99_Jockey_Harwich2SLA001","2.59","1.54"
"SRR14293140","08_BARI_Harwich2TOM008","6.93","5.05"
"SRR14293140","62_MDG3_Harwich2SLA001","3.33","2.38"
"SRR14293140","DMHFL1","10.90","9.66"
"SRR14293140","DMIFACA","17.62","14.94"
"SRR14293140","micropia","0.15","0.00"
"SRR14293140","OPUS","31.47","24.77"
"SRR14293140","PPI251","12.76","12.42"
"SRR14293140","Souslik","4.92","3.40"
"SRR14293140","spoink","1.38","0.07"
"SRR14293140","TIRANT","12.75","9.53"
"SRR14293140","TRANSIB1_DNA_CMC_Transib","1.33","1.20"
"SRR14293233","412","16.24","11.90"
"SRR14293233","BLOOD","15.74","13.21"
"SRR14293233","99_Jockey_Harwich2SLA001","8.34","5.40"
"SRR14293233","08_BARI_Harwich2TOM008","4.69","3.44"
"SRR14293233","62_MDG3_Harwich2SLA001","5.69","4.17"
"SRR14293233","DMHFL1","28.28","26.52"
"SRR14293233","DMIFACA","20.99","19.01"
"SRR14293233","micropia","0.15","0.00"
"SRR14293233","OPUS","34.89","28.09"
"SRR14293233","PPI251","12.75","12.29"
"SRR14293233","Souslik","3.24","2.20"
"SRR14293233","spoink","0.58","0.07"
"SRR14293233","TIRANT","9.58","6.84"
"SRR14293233","TRANSIB1_DNA_CMC_Transib","1.08","0.98"
"SRR14294393","412","20.63","15.02"
"SRR14294393","BLOOD","18.96","16.21"
"SRR14294393","99_Jockey_Harwich2SLA001","10.07","6.39"
"SRR14294393","08_BARI_Harwich2TOM008","6.48","4.70"
"SRR14294393","62_MDG3_Harwich2SLA001","3.44","2.40"
"SRR14294393","DMHFL1","21.74","20.20"
"SRR14294393","DMIFACA","23.19","20.44"
"SRR14294393","micropia","0.17","0.00"
"SRR14294393","OPUS","25.26","19.59"
"SRR14294393","PPI251","19.50","18.78"
"SRR14294393","Souslik","4.12","2.78"
"SRR14294393","spoink","1.32","0.07"
"SRR14294393","TIRANT","9.19","6.80"
"SRR14294393","TRANSIB1_DNA_CMC_Transib","1.18","1.03"
"SRR14294796","412","23.35","17.72"
"SRR14294796","BLOOD","14.10","12.05"
"SRR14294796","99_Jockey_Harwich2SLA001","6.63","4.23"
"SRR14294796","08_BARI_Harwich2TOM008","6.16","4.48"
"SRR14294796","62_MDG3_Harwich2SLA001","3.91","2.77"
"SRR14294796","DMHFL1","17.14","15.62"
"SRR14294796","DMIFACA","21.97","19.56"
"SRR14294796","micropia","0.14","0.00"
"SRR14294796","OPUS","34.03","26.12"
"SRR14294796","PPI251","17.02","16.41"
"SRR14294796","Souslik","3.53","2.36"
"SRR14294796","spoink","1.28","0.07"
"SRR14294796","TIRANT","12.44","9.26"
"SRR14294796","TRANSIB1_DNA_CMC_Transib","1.07","0.97"
"SRR14294940","412","12.98","9.55"
"SRR14294940","BLOOD","13.79","11.79"
"SRR14294940","99_Jockey_Harwich2SLA001","11.35","7.33"
"SRR14294940","08_BARI_Harwich2TOM008","2.81","2.10"
"SRR14294940","62_MDG3_Harwich2SLA001","4.08","3.01"
"SRR14294940","DMHFL1","35.56","33.54"
"SRR14294940","DMIFACA","19.84","17.93"
"SRR14294940","micropia","0.11","0.00"
"SRR14294940","OPUS","42.78","31.55"
"SRR14294940","PPI251","41.09","39.34"
"SRR14294940","Souslik","3.74","2.46"
"SRR14294940","spoink","1.21","0.03"
"SRR14294940","TIRANT","14.96","11.13"
"SRR14294940","TRANSIB1_DNA_CMC_Transib","0.79","0.69"
"SRR14293576","412","24.88","18.89"
"SRR14293576","BLOOD","21.54","18.43"
"SRR14293576","99_Jockey_Harwich2SLA001","5.84","3.82"
"SRR14293576","08_BARI_Harwich2TOM008","5.63","4.11"
"SRR14293576","62_MDG3_Harwich2SLA001","5.12","3.67"
"SRR14293576","DMHFL1","11.07","9.67"
"SRR14293576","DMIFACA","21.82","19.13"
"SRR14293576","micropia","0.17","0.01"
"SRR14293576","OPUS","34.41","27.04"
"SRR14293576","PPI251","21.23","20.59"
"SRR14293576","Souslik","5.08","3.41"
"SRR14293576","spoink","0.78","0.08"
"SRR14293576","TIRANT","7.57","5.39"
"SRR14293576","TRANSIB1_DNA_CMC_Transib","1.39","1.22"
"SRR14294899","412","13.49","9.79"
"SRR14294899","BLOOD","12.49","10.36"
"SRR14294899","99_Jockey_Harwich2SLA001","11.29","6.99"
"SRR14294899","08_BARI_Harwich2TOM008","6.09","4.45"
"SRR14294899","62_MDG3_Harwich2SLA001","4.49","3.24"
"SRR14294899","DMHFL1","10.11","8.85"
"SRR14294899","DMIFACA","15.62","13.46"
"SRR14294899","micropia","0.13","0.00"
"SRR14294899","OPUS","24.88","18.65"
"SRR14294899","PPI251","15.42","14.96"
"SRR14294899","Souslik","3.76","2.56"
"SRR14294899","spoink","1.25","0.04"
"SRR14294899","TIRANT","10.43","7.55"
"SRR14294899","TRANSIB1_DNA_CMC_Transib","0.81","0.72"
"SRR14294944","412","14.45","10.72"
"SRR14294944","BLOOD","16.24","14.06"
"SRR14294944","99_Jockey_Harwich2SLA001","3.61","2.76"
"SRR14294944","08_BARI_Harwich2TOM008","4.04","3.00"
"SRR14294944","62_MDG3_Harwich2SLA001","2.81","2.02"
"SRR14294944","DMHFL1","20.74","19.22"
"SRR14294944","DMIFACA","14.71","13.00"
"SRR14294944","micropia","0.13","0.00"
"SRR14294944","OPUS","29.42","22.52"
"SRR14294944","PPI251","10.51","10.24"
"SRR14294944","Souslik","3.52","2.40"
"SRR14294944","spoink","0.37","0.04"
"SRR14294944","TIRANT","7.09","4.94"
"SRR14294944","TRANSIB1_DNA_CMC_Transib","0.75","0.70"
"SRR14296646","412","18.31","13.48"
"SRR14296646","BLOOD","15.16","12.96"
"SRR14296646","99_Jockey_Harwich2SLA001","3.77","2.24"
"SRR14296646","08_BARI_Harwich2TOM008","5.38","3.92"
"SRR14296646","62_MDG3_Harwich2SLA001","3.17","2.23"
"SRR14296646","DMHFL1","77.44","74.55"
"SRR14296646","DMIFACA","23.87","20.95"
"SRR14296646","micropia","0.14","0.00"
"SRR14296646","OPUS","22.38","17.97"
"SRR14296646","PPI251","10.79","10.50"
"SRR14296646","Souslik","3.65","2.50"
"SRR14296646","spoink","0.70","0.07"
"SRR14296646","TIRANT","9.41","6.87"
"SRR14296646","TRANSIB1_DNA_CMC_Transib","1.53","1.38"
"SRR14296993","412","18.11","13.18"
"SRR14296993","BLOOD","14.48","12.18"
"SRR14296993","99_Jockey_Harwich2SLA001","2.95","1.71"
"SRR14296993","08_BARI_Harwich2TOM008","4.69","3.43"
"SRR14296993","62_MDG3_Harwich2SLA001","2.31","1.68"
"SRR14296993","DMHFL1","15.36","13.91"
"SRR14296993","DMIFACA","18.49","16.11"
"SRR14296993","micropia","0.17","0.01"
"SRR14296993","OPUS","44.08","31.34"
"SRR14296993","PPI251","13.22","12.73"
"SRR14296993","Souslik","4.31","2.97"
"SRR14296993","spoink","0.55","0.07"
"SRR14296993","TIRANT","11.89","8.58"
"SRR14296993","TRANSIB1_DNA_CMC_Transib","1.09","0.97"
"SRR14297433","412","21.99","16.67"
"SRR14297433","BLOOD","14.13","12.15"
"SRR14297433","99_Jockey_Harwich2SLA001","14.78","9.22"
"SRR14297433","08_BARI_Harwich2TOM008","6.32","4.66"
"SRR14297433","62_MDG3_Harwich2SLA001","3.04","2.09"
"SRR14297433","DMHFL1","16.31","15.01"
"SRR14297433","DMIFACA","22.89","20.26"
"SRR14297433","micropia","0.10","0.00"
"SRR14297433","OPUS","34.06","26.96"
"SRR14297433","PPI251","25.36","24.54"
"SRR14297433","Souslik","4.00","2.70"
"SRR14297433","spoink","1.04","0.07"
"SRR14297433","TIRANT","13.43","10.21"
"SRR14297433","TRANSIB1_DNA_CMC_Transib","1.49","1.33"
"SRR14297455","412","14.39","10.31"
"SRR14297455","BLOOD","11.95","10.17"
"SRR14297455","99_Jockey_Harwich2SLA001","7.44","4.70"
"SRR14297455","08_BARI_Harwich2TOM008","4.52","3.31"
"SRR14297455","62_MDG3_Harwich2SLA001","2.60","1.85"
"SRR14297455","DMHFL1","28.14","26.56"
"SRR14297455","DMIFACA","15.16","13.16"
"SRR14297455","micropia","0.15","0.00"
"SRR14297455","OPUS","45.46","35.94"
"SRR14297455","PPI251","7.45","7.23"
"SRR14297455","Souslik","5.02","3.40"
"SRR14297455","spoink","0.56","0.07"
"SRR14297455","TIRANT","17.20","12.74"
"SRR14297455","TRANSIB1_DNA_CMC_Transib","0.83","0.74"
"SRR14298094","412","21.55","16.22"
"SRR14298094","BLOOD","14.61","12.65"
"SRR14298094","99_Jockey_Harwich2SLA001","6.82","4.15"
"SRR14298094","08_BARI_Harwich2TOM008","3.66","2.68"
"SRR14298094","62_MDG3_Harwich2SLA001","1.72","1.15"
"SRR14298094","DMHFL1","26.86","24.83"
"SRR14298094","DMIFACA","28.73","25.19"
"SRR14298094","micropia","0.11","0.00"
"SRR14298094","OPUS","34.26","27.28"
"SRR14298094","PPI251","12.84","12.47"
"SRR14298094","Souslik","3.87","2.62"
"SRR14298094","spoink","0.77","0.07"
"SRR14298094","TIRANT","10.03","7.46"
"SRR14298094","TRANSIB1_DNA_CMC_Transib","1.25","1.12"
"SRR14296430","412","23.85","18.26"
"SRR14296430","BLOOD","15.86","13.53"
"SRR14296430","99_Jockey_Harwich2SLA001","6.82","4.35"
"SRR14296430","08_BARI_Harwich2TOM008","4.70","3.43"
"SRR14296430","62_MDG3_Harwich2SLA001","2.96","2.09"
"SRR14296430","DMHFL1","79.60","76.63"
"SRR14296430","DMIFACA","22.38","19.51"
"SRR14296430","micropia","0.11","0.00"
"SRR14296430","OPUS","23.00","18.29"
"SRR14296430","PPI251","16.04","15.45"
"SRR14296430","Souslik","4.10","2.82"
"SRR14296430","spoink","0.72","0.08"
"SRR14296430","TIRANT","13.13","9.90"
"SRR14296430","TRANSIB1_DNA_CMC_Transib","1.20","1.09"
"SRR14297771","412","21.84","16.69"
"SRR14297771","BLOOD","23.77","20.78"
"SRR14297771","99_Jockey_Harwich2SLA001","9.38","6.05"
"SRR14297771","08_BARI_Harwich2TOM008","12.11","9.09"
"SRR14297771","62_MDG3_Harwich2SLA001","2.11","1.40"
"SRR14297771","DMHFL1","11.17","9.92"
"SRR14297771","DMIFACA","34.37","30.65"
"SRR14297771","micropia","0.10","0.01"
"SRR14297771","OPUS","26.03","20.63"
"SRR14297771","PPI251","58.91","56.21"
"SRR14297771","Souslik","2.55","1.64"
"SRR14297771","spoink","1.05","0.08"
"SRR14297771","TIRANT","12.50","9.86"
"SRR14297771","TRANSIB1_DNA_CMC_Transib","2.96","2.67"
"SRR14297795","412","15.42","11.20"
"SRR14297795","BLOOD","20.17","17.42"
"SRR14297795","99_Jockey_Harwich2SLA001","11.34","6.99"
"SRR14297795","08_BARI_Harwich2TOM008","5.49","3.91"
"SRR14297795","62_MDG3_Harwich2SLA001","2.41","1.67"
"SRR14297795","DMHFL1","15.03","13.63"
"SRR14297795","DMIFACA","21.59","18.70"
"SRR14297795","micropia","0.11","0.00"
"SRR14297795","OPUS","35.66","28.91"
"SRR14297795","PPI251","41.98","39.63"
"SRR14297795","Souslik","3.47","2.38"
"SRR14297795","spoink","0.74","0.07"
"SRR14297795","TIRANT","10.48","7.78"
"SRR14297795","TRANSIB1_DNA_CMC_Transib","1.26","1.13"
"SRR14298064","412","13.74","9.90"
"SRR14298064","BLOOD","13.96","10.99"
"SRR14298064","99_Jockey_Harwich2SLA001","1.78","1.09"
"SRR14298064","08_BARI_Harwich2TOM008","2.58","1.83"
"SRR14298064","62_MDG3_Harwich2SLA001","5.31","3.84"
"SRR14298064","DMHFL1","19.80","18.47"
"SRR14298064","DMIFACA","11.21","9.85"
"SRR14298064","micropia","0.11","0.00"
"SRR14298064","OPUS","29.36","22.05"
"SRR14298064","PPI251","10.27","9.96"
"SRR14298064","Souslik","3.20","2.16"
"SRR14298064","spoink","1.13","0.05"
"SRR14298064","TIRANT","9.33","6.87"
"SRR14298064","TRANSIB1_DNA_CMC_Transib","0.71","0.62"
"SRR14297441","412","15.60","11.57"
"SRR14297441","BLOOD","13.34","11.45"
"SRR14297441","99_Jockey_Harwich2SLA001","9.15","5.71"
"SRR14297441","08_BARI_Harwich2TOM008","3.29","2.48"
"SRR14297441","62_MDG3_Harwich2SLA001","2.42","1.63"
"SRR14297441","DMHFL1","13.63","12.28"
"SRR14297441","DMIFACA","18.48","16.53"
"SRR14297441","micropia","0.10","0.00"
"SRR14297441","OPUS","26.26","20.28"
"SRR14297441","PPI251","8.62","8.34"
"SRR14297441","Souslik","2.37","1.53"
"SRR14297441","spoink","0.63","0.05"
"SRR14297441","TIRANT","6.58","4.47"
"SRR14297441","TRANSIB1_DNA_CMC_Transib","1.08","0.98"
"SRR14297770","412","18.48","13.87"
"SRR14297770","BLOOD","16.93","14.63"
"SRR14297770","99_Jockey_Harwich2SLA001","5.58","3.61"
"SRR14297770","08_BARI_Harwich2TOM008","4.24","3.12"
"SRR14297770","62_MDG3_Harwich2SLA001","3.43","2.36"
"SRR14297770","DMHFL1","24.27","21.98"
"SRR14297770","DMIFACA","20.87","18.51"
"SRR14297770","micropia","0.11","0.00"
"SRR14297770","OPUS","30.96","24.06"
"SRR14297770","PPI251","9.37","9.15"
"SRR14297770","Souslik","3.14","2.21"
"SRR14297770","spoink","0.77","0.05"
"SRR14297770","TIRANT","9.40","6.47"
"SRR14297770","TRANSIB1_DNA_CMC_Transib","2.20","1.99"
"SRR14297954","412","16.10","11.75"
"SRR14297954","BLOOD","19.77","17.10"
"SRR14297954","99_Jockey_Harwich2SLA001","4.86","2.96"
"SRR14297954","08_BARI_Harwich2TOM008","3.09","2.24"
"SRR14297954","62_MDG3_Harwich2SLA001","2.89","2.07"
"SRR14297954","DMHFL1","40.57","38.83"
"SRR14297954","DMIFACA","21.64","19.06"
"SRR14297954","micropia","0.13","0.01"
"SRR14297954","OPUS","27.63","21.30"
"SRR14297954","PPI251","13.49","12.97"
"SRR14297954","Souslik","3.83","2.61"
"SRR14297954","spoink","1.30","0.06"
"SRR14297954","TIRANT","10.17","7.33"
"SRR14297954","TRANSIB1_DNA_CMC_Transib","1.11","1.00"
"SRR14298028","412","21.59","16.15"
"SRR14298028","BLOOD","16.18","13.61"
"SRR14298028","99_Jockey_Harwich2SLA001","4.72","3.10"
"SRR14298028","08_BARI_Harwich2TOM008","3.67","2.66"
"SRR14298028","62_MDG3_Harwich2SLA001","3.45","2.47"
"SRR14298028","DMHFL1","8.69","7.52"
"SRR14298028","DMIFACA","13.72","11.66"
"SRR14298028","micropia","0.14","0.00"
"SRR14298028","OPUS","40.98","31.84"
"SRR14298028","PPI251","15.42","14.84"
"SRR14298028","Souslik","3.83","2.61"
"SRR14298028","spoink","1.25","0.05"
"SRR14298028","TIRANT","4.65","3.12"
"SRR14298028","TRANSIB1_DNA_CMC_Transib","0.92","0.81"
"SRR14297434","412","16.29","11.79"
"SRR14297434","BLOOD","15.78","13.24"
"SRR14297434","99_Jockey_Harwich2SLA001","3.30","2.15"
"SRR14297434","08_BARI_Harwich2TOM008","5.26","3.77"
"SRR14297434","62_MDG3_Harwich2SLA001","2.18","1.54"
"SRR14297434","DMHFL1","13.16","11.58"
"SRR14297434","DMIFACA","23.43","20.89"
"SRR14297434","micropia","0.16","0.00"
"SRR14297434","OPUS","30.56","24.67"
"SRR14297434","PPI251","6.75","6.54"
"SRR14297434","Souslik","3.95","2.64"
"SRR14297434","spoink","0.67","0.06"
"SRR14297434","TIRANT","9.14","6.28"
"SRR14297434","TRANSIB1_DNA_CMC_Transib","1.15","1.02"
