Sample,TE,All_reads,HQ_reads
Sample,TE,All_reads,HQ_reads
SRR5860645,412,20.59,15.02
SRR5860645,BLOOD,7.12,6.15
SRR5860645,DMHFL1,9.24,7.30
SRR5860645,DMIFACA,27.00,24.23
SRR5860645,micropia,0.16,0.00
SRR5860645,OPUS,13.06,10.52
SRR5860645,PPI251,0.00,0.00
SRR5860645,Shellder,0.07,0.00
SRR5860645,Souslik,6.71,6.11
SRR5860645,spoink,0.86,0.09
SRR5860645,TIRANT,7.51,6.06
SRR5860645,Transib1,12.12,11.10
Sample,TE,All_reads,HQ_reads
SRR5860656,412,22.76,16.70
SRR5860656,BLOOD,7.96,6.94
SRR5860656,DMHFL1,8.23,6.43
SRR5860656,DMIFACA,31.77,28.55
SRR5860656,micropia,0.15,0.00
SRR5860656,OPUS,13.04,10.45
SRR5860656,PPI251,0.00,0.00
SRR5860656,Shellder,0.06,0.01
SRR5860656,Souslik,7.14,6.50
SRR5860656,spoink,0.96,0.11
SRR5860656,TIRANT,8.34,6.73
SRR5860656,Transib1,14.40,13.31
Sample,TE,All_reads,HQ_reads
SRR5860657,412,20.61,15.08
SRR5860657,BLOOD,7.36,6.38
SRR5860657,DMHFL1,8.08,6.38
SRR5860657,DMIFACA,31.17,28.00
SRR5860657,micropia,0.16,0.00
SRR5860657,OPUS,12.29,9.90
SRR5860657,PPI251,0.00,0.00
SRR5860657,Shellder,0.08,0.01
SRR5860657,Souslik,6.79,6.17
SRR5860657,spoink,0.95,0.13
SRR5860657,TIRANT,7.87,6.40
SRR5860657,Transib1,13.59,12.55
Sample,TE,All_reads,HQ_reads
SRR5860658,412,20.60,15.14
SRR5860658,BLOOD,7.27,6.31
SRR5860658,DMHFL1,9.06,7.14
SRR5860658,DMIFACA,29.12,26.08
SRR5860658,micropia,0.16,0.01
SRR5860658,OPUS,12.25,9.91
SRR5860658,PPI251,0.01,0.01
SRR5860658,Shellder,0.07,0.00
SRR5860658,Souslik,6.66,6.04
SRR5860658,spoink,0.92,0.08
SRR5860658,TIRANT,7.58,6.20
SRR5860658,Transib1,13.72,12.57
Sample,TE,All_reads,HQ_reads
SRR5860659,412,23.59,17.52
SRR5860659,BLOOD,8.29,7.09
SRR5860659,DMHFL1,9.78,7.58
SRR5860659,DMIFACA,31.06,27.68
SRR5860659,micropia,0.19,0.00
SRR5860659,OPUS,14.04,11.09
SRR5860659,PPI251,0.00,0.00
SRR5860659,Shellder,0.07,0.00
SRR5860659,Souslik,7.19,6.44
SRR5860659,spoink,0.97,0.09
SRR5860659,TIRANT,8.02,6.46
SRR5860659,Transib1,13.63,12.38
Sample,TE,All_reads,HQ_reads
SRR5860660,412,19.31,14.09
SRR5860660,BLOOD,6.85,5.95
SRR5860660,DMHFL1,9.62,7.59
SRR5860660,DMIFACA,25.78,23.07
SRR5860660,micropia,0.17,0.01
SRR5860660,OPUS,11.99,9.66
SRR5860660,PPI251,0.00,0.00
SRR5860660,Shellder,0.06,0.00
SRR5860660,Souslik,6.40,5.86
SRR5860660,spoink,0.84,0.10
SRR5860660,TIRANT,6.65,5.42
SRR5860660,Transib1,13.06,11.95
Sample,TE,All_reads,HQ_reads
SRR5860661,412,21.27,15.66
SRR5860661,BLOOD,7.55,6.57
SRR5860661,DMHFL1,8.76,6.99
SRR5860661,DMIFACA,30.22,27.11
SRR5860661,micropia,0.15,0.00
SRR5860661,OPUS,11.84,9.51
SRR5860661,PPI251,0.00,0.00
SRR5860661,Shellder,0.05,0.00
SRR5860661,Souslik,6.52,5.92
SRR5860661,spoink,0.88,0.10
SRR5860661,TIRANT,7.55,6.18
SRR5860661,Transib1,14.29,13.13
Sample,TE,All_reads,HQ_reads
SRR5860662,412,22.58,16.65
SRR5860662,BLOOD,7.97,6.92
SRR5860662,DMHFL1,8.06,6.36
SRR5860662,DMIFACA,32.79,29.38
SRR5860662,micropia,0.15,0.01
SRR5860662,OPUS,12.48,10.00
SRR5860662,PPI251,0.00,0.00
SRR5860662,Shellder,0.08,0.01
SRR5860662,Souslik,6.55,5.99
SRR5860662,spoink,0.97,0.10
SRR5860662,TIRANT,8.08,6.62
SRR5860662,Transib1,15.03,13.91
Sample,TE,All_reads,HQ_reads
SRR5860663,412,19.32,14.13
SRR5860663,BLOOD,6.82,5.91
SRR5860663,DMHFL1,9.58,7.54
SRR5860663,DMIFACA,26.32,23.64
SRR5860663,micropia,0.16,0.00
SRR5860663,OPUS,12.62,10.16
SRR5860663,PPI251,0.00,0.00
SRR5860663,Shellder,0.09,0.00
SRR5860663,Souslik,6.70,6.10
SRR5860663,spoink,0.82,0.09
SRR5860663,TIRANT,7.47,6.02
SRR5860663,Transib1,12.48,11.39
Sample,TE,All_reads,HQ_reads
SRR5860664,412,19.44,14.17
SRR5860664,BLOOD,6.95,6.01
SRR5860664,DMHFL1,8.66,6.89
SRR5860664,DMIFACA,27.59,24.81
SRR5860664,micropia,0.19,0.01
SRR5860664,OPUS,12.06,9.61
SRR5860664,PPI251,0.00,0.00
SRR5860664,Shellder,0.06,0.01
SRR5860664,Souslik,6.44,5.86
SRR5860664,spoink,0.93,0.10
SRR5860664,TIRANT,7.20,5.81
SRR5860664,Transib1,12.05,11.01
Sample,TE,All_reads,HQ_reads
SRR5860665,412,21.89,15.95
SRR5860665,BLOOD,7.72,6.61
SRR5860665,DMHFL1,9.71,7.50
SRR5860665,DMIFACA,28.91,25.62
SRR5860665,micropia,0.15,0.00
SRR5860665,OPUS,12.55,10.03
SRR5860665,PPI251,0.00,0.00
SRR5860665,Shellder,0.06,0.00
SRR5860665,Souslik,6.67,5.99
SRR5860665,spoink,0.85,0.09
SRR5860665,TIRANT,7.61,6.09
SRR5860665,Transib1,13.50,12.39
