Sample,TE,All_reads,HQ_reads
ERR668323,Shellder,16.75,15.13
ERR668323,Souslik,3.17,2.76
ERR668323,spoink,9.60,8.22
ERR668323,TIRANT,2.74,1.83
ERR668323,Transib1,9.04,8.37
Sample,TE,All_reads,HQ_reads
ERR668324,412,20.24,15.33
ERR668324,BLOOD,19.76,17.83
ERR668324,DMHFL1,32.96,30.77
ERR668324,DMIFACA,20.38,18.37
ERR668324,dsim_Antennapedia,0.95,0.93
ERR668324,micropia,0.03,0.00
ERR668324,OPUS,7.33,5.35
ERR668324,PPI251,0.00,0.00
ERR668324,Shellder,21.75,19.21
ERR668324,Souslik,5.18,4.61
ERR668324,spoink,14.11,12.35
ERR668324,TIRANT,6.67,5.47
ERR668324,Transib1,13.61,12.43
Sample,TE,All_reads,HQ_reads
ERR668325,412,17.40,13.29
ERR668325,BLOOD,4.23,3.70
ERR668325,DMHFL1,29.89,28.06
ERR668325,DMIFACA,18.48,16.71
ERR668325,dsim_Antennapedia,0.97,0.96
ERR668325,micropia,0.04,0.00
ERR668325,OPUS,4.44,3.21
ERR668325,PPI251,0.00,0.00
ERR668325,Shellder,16.32,14.43
ERR668325,Souslik,5.33,4.76
ERR668325,spoink,11.79,10.55
ERR668325,TIRANT,4.67,3.55
ERR668325,Transib1,10.48,9.58
Sample,TE,All_reads,HQ_reads
ERR668326,412,24.48,18.74
ERR668326,BLOOD,8.96,8.02
ERR668326,DMHFL1,33.38,31.27
ERR668326,DMIFACA,21.46,19.33
ERR668326,dsim_Antennapedia,0.94,0.92
ERR668326,micropia,0.05,0.00
ERR668326,OPUS,9.41,7.07
ERR668326,PPI251,0.00,0.00
ERR668326,Shellder,16.34,14.62
ERR668326,Souslik,4.16,3.67
ERR668326,spoink,18.50,16.02
ERR668326,TIRANT,4.59,3.43
ERR668326,Transib1,15.05,13.83
Sample,TE,All_reads,HQ_reads
ERR668327,412,21.10,15.89
ERR668327,BLOOD,8.33,7.41
ERR668327,DMHFL1,28.82,26.53
ERR668327,DMIFACA,20.86,18.96
ERR668327,dsim_Antennapedia,0.95,0.93
ERR668327,micropia,0.01,0.00
ERR668327,OPUS,21.31,16.90
ERR668327,PPI251,0.00,0.00
ERR668327,Shellder,12.79,11.56
ERR668327,Souslik,4.11,3.61
ERR668327,spoink,8.16,6.82
ERR668327,TIRANT,3.65,2.59
ERR668327,Transib1,13.91,12.83
Sample,TE,All_reads,HQ_reads
ERR694694,412,28.10,22.46
ERR694694,BLOOD,10.50,9.37
ERR694694,DMHFL1,34.43,30.31
ERR694694,DMIFACA,29.07,27.13
ERR694694,dsim_Antennapedia,1.01,0.99
ERR694694,micropia,0.03,0.00
ERR694694,OPUS,11.18,5.99
ERR694694,PPI251,0.90,0.89
ERR694694,Shellder,14.75,12.78
ERR694694,Souslik,4.51,4.03
ERR694694,spoink,23.19,17.86
ERR694694,TIRANT,2.52,1.76
ERR694694,Transib1,17.68,16.39
Sample,TE,All_reads,HQ_reads
ERR694695,412,24.71,19.30
ERR694695,BLOOD,9.00,7.99
ERR694695,DMHFL1,37.92,34.50
ERR694695,DMIFACA,30.26,28.02
ERR694695,dsim_Antennapedia,1.04,1.01
ERR694695,micropia,0.02,0.00
ERR694695,OPUS,6.12,4.73
ERR694695,PPI251,4.79,4.69
ERR694695,Shellder,18.00,15.50
ERR694695,Souslik,7.78,7.05
ERR694695,spoink,25.30,21.55
ERR694695,TIRANT,3.03,2.19
ERR694695,Transib1,17.29,15.92
Sample,TE,All_reads,HQ_reads
ERR694697,412,21.65,16.68
ERR694697,BLOOD,11.58,10.31
ERR694697,DMHFL1,36.26,32.90
ERR694697,DMIFACA,26.47,24.31
ERR694697,dsim_Antennapedia,1.07,1.04
ERR694697,micropia,0.02,0.00
ERR694697,OPUS,6.37,4.91
ERR694697,PPI251,7.38,7.25
ERR694697,Shellder,13.27,11.38
ERR694697,Souslik,4.71,4.15
ERR694697,spoink,17.23,14.92
ERR694697,TIRANT,2.60,1.87
ERR694697,Transib1,18.21,16.74
Sample,TE,All_reads,HQ_reads
ERR694698,412,108.00,40.15
ERR694698,BLOOD,24.87,18.05
ERR694698,DMHFL1,3398.51,3143.77
ERR694698,DMIFACA,14.30,12.83
ERR694698,dsim_Antennapedia,0.59,0.53
ERR694698,micropia,0.00,0.00
ERR694698,OPUS,176.13,91.88
ERR694698,PPI251,43.41,41.20
ERR694698,Shellder,44.55,25.33
ERR694698,Souslik,11.43,10.45
ERR694698,spoink,676.15,524.72
ERR694698,TIRANT,1.03,0.16
ERR694698,Transib1,25.46,24.86
Sample,TE,All_reads,HQ_reads
ERR694699,412,281.94,50.69
ERR694699,BLOOD,23.73,18.00
ERR694699,DMHFL1,2408.18,2222.15
ERR694699,DMIFACA,15.00,13.85
ERR694699,dsim_Antennapedia,0.20,0.20
ERR694699,micropia,0.00,0.00
ERR694699,OPUS,144.49,62.05
ERR694699,PPI251,49.25,44.39
ERR694699,Shellder,95.21,20.40
ERR694699,Souslik,15.23,10.28
ERR694699,spoink,359.50,233.34
ERR694699,TIRANT,1.33,0.76
ERR694699,Transib1,7.48,7.48
Sample,TE,All_reads,HQ_reads
ERR694700,412,8.66,7.78
ERR694700,BLOOD,0.06,0.00
ERR694700,DMHFL1,1.16,0.29
ERR694700,DMIFACA,0.00,0.00
ERR694700,dsim_Antennapedia,1.00,0.95
ERR694700,micropia,0.00,0.00
ERR694700,OPUS,2.12,0.00
ERR694700,PPI251,0.26,0.26
ERR694700,Shellder,1.71,0.17
ERR694700,Souslik,7.49,7.46
ERR694700,spoink,0.45,0.19
ERR694700,TIRANT,0.00,0.00
ERR694700,Transib1,0.00,0.00
Sample,TE,All_reads,HQ_reads
ERR9436064,412,23.25,18.68
ERR9436064,BLOOD,7.43,6.63
ERR9436064,DMHFL1,28.22,25.53
ERR9436064,DMIFACA,27.54,25.97
ERR9436064,dsim_Antennapedia,1.01,0.99
ERR9436064,micropia,0.02,0.00
ERR9436064,OPUS,5.20,4.03
ERR9436064,PPI251,9.28,9.18
ERR9436064,Shellder,11.36,9.81
ERR9436064,Souslik,4.12,3.68
ERR9436064,spoink,14.38,11.90
ERR9436064,TIRANT,2.05,1.45
ERR9436064,Transib1,13.91,12.82
Sample,TE,All_reads,HQ_reads
ERR9439680,412,19.04,15.30
ERR9439680,BLOOD,7.76,6.94
ERR9439680,DMHFL1,26.43,23.84
ERR9439680,DMIFACA,22.42,20.90
