#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:D_mel_TE_RVT_protein" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:D_mel_TE_RVT_protein" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:D_mel_TE_RVT_protein" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.D_mel_TE_RVT_protein" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:D_mel_TE_RVT_protein" name="distribution" x="@birthRate.t:D_mel_TE_RVT_protein">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@D_mel_TE_RVT_protein" id="treeLikelihood.D_mel_TE_RVT_protein" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:D_mel_TE_RVT_protein">
#            <siteModel id="SiteModel.s:D_mel_TE_RVT_protein" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:D_mel_TE_RVT_protein" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:D_mel_TE_RVT_protein" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:D_mel_TE_RVT_protein" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="Blosum62.s:D_mel_TE_RVT_protein" spec="beast.base.evolution.substitutionmodel.Blosum62"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:D_mel_TE_RVT_protein" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:D_mel_TE_RVT_protein" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
42000	-4760.87946416351	-4754.041306359364	-6.838157804146295	-4754.041306359364	1.4310773547491227	8.385265072267142	-6.838157804146295	1.7461888874780835
43000	-4766.50587192693	-4759.119927315542	-7.38594461138825	-4759.119927315542	1.414545162173804	8.723590804647326	-7.38594461138825	1.5501690689743903
44000	-4769.034938041624	-4760.18939844777	-8.845539593853173	-4760.18939844777	1.9261227238139091	9.193425781080746	-8.845539593853173	2.070340942810984
45000	-4763.35169419716	-4755.584295119192	-7.767399077968902	-4755.584295119192	1.6492038256730464	8.942441479552928	-7.767399077968902	1.6913185003107738
46000	-4770.495432025443	-4762.731004051367	-7.7644279740760584	-4762.731004051367	1.5519963908301353	8.860447859068222	-7.7644279740760584	1.8383352797495922
47000	-4760.669498717919	-4753.022775047463	-7.64672367045524	-4753.022775047463	1.5553982671603506	8.70930236382604	-7.64672367045524	1.958537941686404
48000	-4768.289568244734	-4759.649518600615	-8.640049644118898	-4759.649518600615	1.8626371871391605	9.546730655719333	-8.640049644118898	1.461848958149318
49000	-4764.33058791394	-4758.39290171575	-5.937686198189788	-4758.39290171575	1.2801194387759398	7.617719508561191	-5.937686198189788	2.3487097519314517
50000	-4762.163602847296	-4754.959943205271	-7.203659642024471	-4754.959943205271	1.5538523214285471	8.394516771831563	-7.203659642024471	1.3156297870324278
51000	-4760.2774167852585	-4753.010252593919	-7.267164191339307	-4753.010252593919	1.51930285599519	8.539472543386205	-7.267164191339307	1.923134205299822
52000	-4769.53681362068	-4759.870705802712	-9.666107817967726	-4759.870705802712	1.5418288988250555	9.05381854324037	-9.666107817967726	2.458802008507593
53000	-4764.564048165741	-4754.942032868976	-9.622015296765392	-4754.942032868976	1.7937497128103224	9.010718760135392	-9.622015296765392	2.477339088615453
54000	-4759.294712327773	-4751.879471326723	-7.415241001049694	-4751.879471326723	1.5893226690887259	8.610873046902007	-7.415241001049694	1.9311301963962206
55000	-4762.476398553602	-4755.393913634118	-7.082484919484595	-4755.393913634118	1.485114039579034	8.52853951784193	-7.082484919484595	1.7340652764980828
56000	-4766.4786657389095	-4757.7427282236295	-8.735937515280183	-4757.7427282236295	1.844424428956575	9.322288277306944	-8.735937515280183	1.9048613576888997
57000	-4760.081388345083	-4753.251343065459	-6.830045279623446	-4753.251343065459	1.507742350976165	8.379254578232196	-6.830045279623446	1.5916458569189713
58000	-4760.803252656181	-4753.515065223915	-7.288187432265321	-4753.515065223915	1.640640031565773	8.657671296836124	-7.288187432265321	1.6974574106779752
59000	-4765.358414840711	-4757.017636826658	-8.340778014052242	-4757.017636826658	1.5048009585166244	8.527466166876291	-8.340778014052242	2.4477649567050235
60000	-4761.832389654482	-4753.541868768304	-8.290520886177788	-4753.541868768304	1.6875616664976314	9.087263567549027	-8.290520886177788	1.906167473753655
61000	-4763.810862888845	-4755.615952407509	-8.194910481335532	-4755.615952407509	1.4803513859122506	8.588247640777677	-8.194910481335532	2.340201110432609
62000	-4761.60972909314	-4753.357748743445	-8.251980349694843	-4753.357748743445	1.6887326952258168	8.696757549257326	-8.251980349694843	2.264948771432452
63000	-4761.355485994863	-4753.996874111928	-7.358611882934474	-4753.996874111928	1.6100014888158773	8.71019065525021	-7.358611882934474	1.577110515341176
64000	-4771.112721427638	-4763.826973881694	-7.285747545942758	-4763.826973881694	1.5595580765125874	8.635335377500144	-7.285747545942758	1.7628384972494864
65000	-4766.369890594512	-4759.39977363633	-6.970116958182246	-4759.39977363633	1.3850008562480998	8.257782334082957	-6.970116958182246	2.1098936843051836
66000	-4766.87237217128	-4758.007723208994	-8.864648962286417	-4758.007723208994	1.7618302935808714	9.488148523931045	-8.864648962286417	1.8086723638136528
67000	-4765.502459386597	-4757.220856781305	-8.28160260529263	-4757.220856781305	1.6973430716184401	9.027011864888252	-8.28160260529263	1.9652184893065712
68000	-4763.341495724597	-4755.660248518385	-7.6812472062123	-4755.660248518385	1.6132963426268245	8.709288284363987	-7.6812472062123	1.980129501740124
69000	-4762.052368014727	-4753.349663972863	-8.702704041864184	-4753.349663972863	1.6817525176026307	8.967419091578595	-8.702704041864184	2.2048968969235867
70000	-4764.4615117588255	-4757.179579948275	-7.28193181055031	-4757.179579948275	1.5419303416676509	8.542645590334049	-7.28193181055031	1.9299269468176274
71000	-4767.5080577998815	-4759.622778243378	-7.885279556503114	-4759.622778243378	1.6165659673492958	8.789010060545992	-7.885279556503114	2.0062888942957064
72000	-4761.524356941145	-4753.744480809796	-7.779876131348858	-4753.744480809796	1.6612244522339168	8.708143167729226	-7.779876131348858	2.0381334734329317
73000	-4762.444370260821	-4756.037092571608	-6.407277689213666	-4756.037092571608	1.4040040069154935	8.031473671183775	-6.407277689213666	2.0437181300088083
74000	-4758.163728599688	-4750.207515858975	-7.9562127407126235	-4750.207515858975	1.6080147611669662	9.011687596643627	-7.9562127407126235	1.7693088354145905
75000	-4763.687220498315	-4755.616720550972	-8.070499947342547	-4755.616720550972	1.6391702693251844	9.162459222704461	-8.070499947342547	1.571983494504876
76000	-4764.483011088454	-4755.917731271149	-8.56527981730523	-4755.917731271149	1.5781339958488787	9.192131852070975	-8.56527981730523	1.9451258731100398
77000	-4763.6033136957185	-4756.374010179809	-7.229303515908881	-4756.374010179809	1.3653388674745455	8.14521628199319	-7.229303515908881	1.1978635061179985
78000	-4763.4012001952915	-4756.068502259497	-7.332697935793986	-4756.068502259497	1.4912842286290457	8.6834254891616	-7.332697935793986	1.6992609212805618
79000	-4768.967959266718	-4760.884838272725	-8.083120993993168	-4760.884838272725	1.7111829417428916	8.90760537528031	-8.083120993993168	1.9851019586242495
80000	-4767.616996977558	-4760.506238213587	-7.110758763971596	-4760.506238213587	1.6193540100529553	8.482248837896607	-7.110758763971596	1.8818629326278715
81000	-4767.000379441806	-4760.560837981744	-6.4395414600617515	-4760.560837981744	1.3355205185521692	8.1500201754613	-6.4395414600617515	1.6419508726398684
82000	-4759.822646928472	-4753.291343778144	-6.531303150327339	-4753.291343778144	1.4017041378357231	8.199909761064621	-6.531303150327339	1.6168578017124458
83000	-4762.599632688603	-4755.231980308095	-7.367652380508033	-4755.231980308095	1.4534418195466114	8.714850655600143	-7.367652380508033	1.568096232307302
84000	-4765.241361643239	-4756.426460881929	-8.814900761309527	-4756.426460881929	1.3550881079574517	8.345369944939575	-8.814900761309527	0.9244154165034232
85000	-4763.113917119256	-4754.898547323225	-8.215369796031013	-4754.898547323225	1.6522820037985866	9.026277871073333	-8.215369796031013	1.2252702086979617
86000	-4761.36728662603	-4754.368327143408	-6.998959482622202	-4754.368327143408	1.465807562722157	8.33803034637673	-6.998959482622202	2.019646942387582
87000	-4766.153538872725	-4759.49412811711	-6.659410755614993	-4759.49412811711	1.6139218104807145	8.266574893915937	-6.659410755614993	1.8163917741011304
88000	-4765.215403671897	-4756.985236133767	-8.230167538129374	-4756.985236133767	1.8273147451482021	9.247422555676332	-8.230167538129374	1.4077413590938337
89000	-4766.1128122017935	-4758.566709059972	-7.546103141821872	-4758.566709059972	1.5921554828621631	8.34627695693975	-7.546103141821872	2.3045881244489728
90000	-4765.142957363473	-4755.954013401777	-9.188943961696577	-4755.954013401777	2.0093178177018904	9.900105693977364	-9.188943961696577	1.3097646542566233
